dataset,n_samples,n_features,n_clusters,python,spark2,spark4,spark8,snowflake
a3,7500,2,50,3300.002,30623.991,37865.325,43777.674,316253.581
a3e1,10000,2,50,4355.168,21998.2,23659.592,25415.885,289912.947
a3e2,100000,2,50,38904.652,105687.829,107992.186,112095.024,1066979.312
a3e3,1000000,2,50,386608.289,980548.238,31116.62,946648.138,
dim032,1024,32,16,1956.998,26376.726,21628.543,39474.14,227974.169
dim032e1,10000,32,16,27267.579,23800.785,101727.403,24589.95,437876.67
dim032e2,100000,32,16,314639.903,103837.309,28894.438,108352.443,3620311.479
dim032e3,1000000,32,16,3348510.612,944623.409,27157.14,956134.166,
dim128,1024,128,16,6356.976,22564.865,127634.801,40330.09,274883.249
dim128e1,10000,128,16,101936.959,25476.006,409849.699,30214.164,1524318.141
dim128e2,100000,128,16,1058977.308,128567.465,936183.48,133822.193,
dim128e3,1000000,128,16,12070384.91,800183.295,931067.931,376295.396,
dim512,1024,512,16,27015.016,28401.645,34289.936,43953.325,611197.106
dim512e1,10000,512,16,459363.018,32789.732,35267.324,35845.099,
dim512e2,100000,512,16,4927826.535,201600.509,160775.675,161824.551,
dim512e3,1000000,512,16,,1455357.557,791216.539,427483.514,
