dataset,n_samples,n_features,n_clusters,training_time (ms),NMI score
a3,7500,2,50,3300.002,0.9798693480364158
a3e1,10000,2,50,4355.168,0.9922433489065794
a3e2,100000,2,50,38904.652,1.0
a3e3,1000000,2,50,386608.289,1.0
dim032,1024,32,16,1956.9979999999998,1.0
dim032e1,10000,32,16,27267.578999999998,1.0
dim032e2,100000,32,16,314639.903,1.0
dim032e3,1000000,32,16,3348510.6119999997,1.0
dim128,1024,128,16,6356.976,1.0
dim128e1,10000,128,16,101936.959,1.0
dim128e2,100000,128,16,1058977.308,1.0
dim128e3,1000000,128,16,12070384.910999998,1.0
dim512,1024,512,16,27015.016,1.0
dim512e1,10000,512,16,459363.018,1.0
dim512e2,100000,512,16,4927826.535,1.0
